,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
1,Paris Saint Germain,38,24,11,3,83,36,83,78.42,67.78,28.24,25.96,41.82,6.79,15.02,321,116,84.1
2,Lyon,38,22,9,7,72,33,75,62.85,53.63,41.71,37.15,16.49,7.95,10.91,202,136,65.62
3,Monaco,38,20,11,7,51,26,71,56.61,51.29,37.62,32.92,18.37,8.02,9.67,228,132,64.81
4,Marseille,38,21,6,11,76,42,69,60.63,57.59,36.41,33.37,24.23,6.11,8.27,201,126,66.51
5,Saint-Etienne,38,19,12,7,51,30,69,46.49,41.17,38.24,33.67,7.5,8.79,10.52,198,124,58.7
6,Bordeaux,38,17,12,9,47,44,63,48.21,42.13,43.09,37.77,4.36,9.06,10.41,204,139,55.79
7,Montpellier,38,16,8,14,46,39,56,45.39,40.83,42.45,39.31,1.52,8.65,5.9,152,166,52.76
8,Lille,38,16,8,14,43,42,56,40.92,34.81,44.22,41.94,-7.12,8.89,9.93,170,150,50.78
9,Rennes,38,13,11,14,35,42,50,37.44,35.16,38.92,35.12,0.04,11.57,11.8,169,148,49.58
10,Guingamp,38,15,4,19,41,55,49,37.85,32.53,45.12,39.8,-7.27,11.84,6.79,122,211,47.48
11,Nice,38,13,9,16,44,53,48,45.19,42.15,48.0,41.92,0.23,7.52,7.21,134,169,50.49
12,SC Bastia,38,12,11,15,37,46,47,30.25,26.45,44.64,39.32,-12.87,8.79,8.24,98,201,44.44
13,Caen,38,12,10,16,54,55,46,41.4,36.84,59.07,47.4,-10.56,11.12,6.93,118,229,40.98
14,Nantes,38,11,12,15,29,40,45,36.08,31.5,39.62,36.58,-5.08,9.83,8.99,124,127,49.13
15,Reims,38,12,8,18,47,66,44,43.45,41.17,58.57,53.23,-12.07,10.21,9.68,131,157,43.04
16,Lorient,38,12,7,19,44,50,43,41.04,37.24,52.5,47.18,-9.95,11.98,9.81,151,187,43.97
17,Toulouse,38,12,6,20,43,64,42,40.67,37.63,45.67,39.59,-1.9500000000000002,7.36,7.91,184,165,46.42
18,Evian Thonon Gaillard,38,11,4,23,41,62,37,33.9,32.38,54.61,48.53,-16.16,9.09,8.44,104,191,38.24
19,Metz,38,7,9,22,31,61,30,37.52,29.81,48.69,44.89,-15.08,10.53,8.09,132,204,42.99
20,Lens,38,7,8,23,32,61,29,38.41,32.03,55.32,48.48,-16.46,9.53,8.18,131,196,42.36
