,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
1,Juventus,38,26,9,3,72,24,87,59.08,52.23,29.13,25.22,27.01,7.94,11.25,334,152,74.79
2,Roma,38,19,13,6,54,31,70,50.85,45.52,36.79,32.98,12.54,7.55,12.82,266,175,62.16
3,Lazio,38,21,6,11,71,38,69,62.0,58.19,35.87,31.3,26.89,6.77,9.93,214,173,67.79
4,Fiorentina,38,18,10,10,61,46,64,60.67,55.31,48.5,46.22,9.09,7.4,11.28,309,170,61.11
5,Napoli,38,18,9,11,70,54,63,64.5,57.54,34.37,32.85,24.69,8.46,12.16,281,137,70.72
6,Genoa,38,16,11,11,62,47,59,57.32,51.99,60.37,54.16,-2.16,7.68,7.03,250,199,50.55
7,Sampdoria,38,13,17,8,48,42,56,47.59,46.06,48.37,43.04,3.02,8.1,7.89,209,246,52.85
8,Inter,38,14,13,11,59,48,55,57.17,51.84,44.32,39.73,12.11,6.18,12.18,297,171,60.8
9,Torino,38,14,12,12,48,45,54,51.78,47.08,42.69,36.57,10.51,12.83,9.13,223,217,56.95
10,AC Milan,38,13,13,12,56,50,52,47.07,38.7,53.99,49.42,-10.72,9.47,9.35,164,263,48.33
11,Palermo,38,12,13,13,53,55,49,54.97,49.62,44.01,40.21,9.41,9.42,8.08,172,216,58.68
12,Sassuolo,38,12,13,13,49,57,49,42.91,36.06,55.19,51.38,-15.32,8.55,7.62,190,237,44.1
13,Verona,38,11,13,14,49,65,46,46.88,42.29,63.41,57.18,-14.9,11.63,7.54,190,314,41.97
14,Chievo,38,10,13,15,28,41,43,33.01,31.49,48.99,45.94,-14.45,9.19,6.23,173,247,41.41
15,Empoli,38,8,18,12,46,52,42,49.66,47.38,43.42,41.9,5.48,8.82,9.09,236,233,56.94
16,Udinese,38,10,11,17,43,56,41,34.86,34.1,54.75,47.9,-13.8,11.36,7.71,171,304,37.46
17,Atalanta,38,7,16,15,38,57,37,40.94,37.13,59.4,52.52,-15.39,9.4,7.49,189,277,39.26
18,Cagliari,38,8,10,20,48,68,34,53.92,48.32,54.17,51.12,-2.8,9.9,7.89,259,240,53.05
19,Parma,38,6,8,24,33,75,26,31.77,30.24,60.74,56.17,-25.93,11.91,8.62,212,269,31.52
20,Cesena,38,4,12,22,36,73,24,34.62,30.05,63.08,55.33,-25.28,10.37,7.74,168,267,34.75
