,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,22221,Luis Suárez,35," AM(CLR),FW",182,86,33,33,0,2955,23,5,5.7,2.8,2.9,1.8,1.2,2.8,2.4,7.89
1,1,97692,Raheem Sterling,27," M(CLR),FW",170,69,19(5),19,5,1749,2,2,1.4,1.5,1.9,2.3,0.3,2.7,1.8,6.97
2,2,23736,Daniel Sturridge,33," M(R),FW",188,76,11(3),11,3,1093,10,3,4.4,2.1,1.7,1.1,0.9,2.1,1.6,7.64
3,3,4574,Glen Johnson,38," D(CLR),M(R)",182,78,36,36,0,3224,1,4,1.5,1.3,1.7,0.7,0.1,1.5,1.4,7.26
4,4,80767,Philippe Coutinho,30, M(CLR),172,68,12(1),12,1,933,3,5,2.8,1.6,1.3,0.8,0.5,1.9,1.3,7.3
5,5,14230,José Enrique,36," D(L),M(L)",184,76,25(4),25,4,2258,2,4,0.8,0.9,1.0,0.6,0.2,1.9,0.7,7.01
6,6,105797,Jordon Ibe,26, M(CLR),176,81,1,1,0,64,0,1,1.0,2.0,1.0,0.0,1.0,1.0,2.0,6.87
7,7,105591,Suso,28," AM(CLR),FW",177,70,8(6),8,6,606,0,0,1.4,0.6,0.8,0.5,0.0,0.8,0.9,6.47
8,8,44687,Martin Kelly,32, D(CLR),191,77,4,4,0,336,0,0,0.5,0.0,0.8,0.5,0.0,1.5,1.8,6.47
9,9,5641,Stewart Downing,38," D(L),M(CLR)",180,64,25(4),25,4,2194,3,5,1.8,2.3,0.6,0.4,0.4,0.8,0.5,7.0
10,10,17,Steven Gerrard,42, M(C),185,82,36,36,0,3223,9,9,2.6,2.6,0.5,0.5,0.1,0.8,0.5,7.54
11,11,101763,Andre Wisdom,29," D(CR),M(R)",186,78,12,12,0,1016,0,1,0.5,0.3,0.5,0.3,0.0,0.8,0.4,6.9
12,12,23444,Joe Allen,32, M(C),168,62,21(6),21,6,1920,0,0,0.3,0.8,0.4,1.1,0.0,1.2,0.7,6.62
13,13,71268,Sebastián Coates,31, D(C),196,94,2(3),2,3,233,0,0,0.0,0.0,0.4,0.0,0.0,0.2,0.2,6.36
14,14,80882,Fabio Borini,31," M(CLR),FW",180,73,5(8),5,8,510,1,0,1.3,0.5,0.3,0.2,0.1,1.5,0.2,6.36
15,15,7398,Daniel Agger,37, D(C),188,79,35,35,0,3100,3,0,1.1,0.3,0.3,1.0,0.0,0.1,0.3,7.06
16,16,14176,Nuri Sahin,34, M(C),180,73,7,7,0,455,1,1,1.1,1.1,0.3,1.0,0.3,1.0,0.4,6.84
17,17,29762,Oussama Assaidi,34," AM(L),FW",177,69,0(4),0,4,73,0,0,0.5,0.0,0.3,0.3,0.3,0.3,0.5,6.0
18,18,40027,Jonjo Shelvey,30, M(C),184,80,9(10),9,10,918,1,0,1.8,0.7,0.2,0.2,0.3,0.7,0.7,6.45
19,19,31451,Lucas Leiva,35," D(C),M(C)",179,74,24(2),24,2,1953,0,1,0.1,0.7,0.2,0.5,0.0,0.6,0.4,7.21
20,20,68659,Jordan Henderson,32," D(C),M(CLR)",182,67,16(14),16,14,1529,5,4,1.1,1.1,0.2,0.4,0.1,0.7,0.3,6.81
21,21,19840,Martin Skrtel,37, D(C),191,81,23(2),23,2,2079,2,0,0.6,0.3,0.1,0.3,0.1,0.2,0.2,6.96
22,22,2987,Pepe Reina,40, GK,188,92,31,31,0,2790,0,0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,6.67
23,23,23383,Andy Carroll,33, FW,193,79,0(2),0,2,18,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3
24,24,11774,Bradley Jones,40, GK,194,76,7,7,0,630,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.69
25,25,97710,Conor Coady,29," D(CR),DMC",185,73,0(1),0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01
26,26,1329,Jamie Carragher,44, D(C),185,76,16(8),16,8,1529,0,1,0.1,0.3,0.0,0.3,0.0,0.0,0.2,6.59
27,27,487,Joe Cole,40, M(LR),175,63,0(6),0,6,166,1,0,1.3,0.5,0.0,0.5,0.3,1.2,0.7,6.19
